Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Jason Doig,2000,2001,2,10,0,1,1,-2,22,0,0,0,0,1,0,0,4,0,82,8:09,doigja01
Tie Domi,1991,1993,3,82,5,4,9,-10,526,5,0,0,1,4,0,0,36,13.9,,,domiti01
Ted Donato,2003,2003,1,49,2,1,3,-1,6,2,0,0,0,1,0,0,30,6.7,419,8:33,donatte01
Mike Donnelly,1987,1988,2,22,3,3,6,-5,8,3,0,0,0,3,0,0,35,8.6,,,donnemi01
André Doré,1979,1985,6,139,8,38,46,23,153,8,0,0,1,35,2,1,102,7.8,,,dorean01
Jim Dorey,1972,1972,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,doreyji01
Derek Dorsett,2014,2014,1,51,4,4,8,-1,128,4,0,0,0,4,0,0,67,6,562,11:02,dorsede01
Bruce Driver,1996,1998,3,220,13,74,87,7,136,7,6,0,2,39,35,0,410,3.2,1550,,drivebr01
Jim Drummond,1945,1945,1,2,0,0,0,,0,0,0,0,0,0,0,0,,,,,drummji01
Chris Drury,2008,2011,4,264,62,89,151,-19,116,37,24,1,10,52,33,4,613,10.1,4920,18:38,drurych01
Christian Dubé,1997,1999,2,33,1,1,2,-4,4,0,1,0,0,0,1,0,14,7.1,16,2:39,dubech01
Brandon Dubinsky,2007,2012,6,393,81,132,213,24,457,61,14,6,15,103,24,5,861,9.4,6762,17:12,dubinbr01
Anthony Duclair,2015,2015,1,18,1,6,7,4,4,1,0,0,0,5,1,0,18,5.6,219,12:09,duclaan01
Dick Duff*,1964,1965,2,43,7,13,20,-18,22,4,3,0,0,10,2,1,87,8,,,duffdi01
Marc Dufour,1964,1965,2,12,1,0,1,-5,2,1,0,0,0,0,0,0,11,9.1,,,dufouma01
Ron Duguay,1978,1988,8,499,164,176,340,-26,370,125,29,10,11,133,41,2,1050,15.6,,,duguaro01
Duke Dukowski,1934,1934,1,29,0,6,6,,18,0,0,0,0,6,0,0,,,,,dukowdu01
Craig Duncanson,1993,1993,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,,,duncacr01
André Dupont,1971,1971,1,7,1,2,3,1,21,1,0,0,0,0,1,1,17,5.9,,,duponan01
Brodie Dupont,2011,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5:34,duponbr01
Pascal Dupuis,2007,2007,1,6,1,0,1,-4,0,1,0,0,0,0,0,0,10,10,93,15:30,dupuipa01
Benoît Dusablon,2004,2004,1,3,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,25,8:19,dusabbe01
Radek Dvořák,2000,2003,4,256,65,99,164,-14,60,47,12,6,4,65,28,6,664,9.8,4668,18:14,dvorara01
Gordie Dwyer,2003,2003,1,17,0,1,1,-1,50,0,0,0,0,0,1,0,8,0,110,6:28,dwyergo01
Henry Dyck,1944,1944,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,dyckhe01
Dallas Eakins,1997,1997,1,3,0,0,0,-1,6,0,0,0,0,0,0,0,2,0,,,eakinda01
Mike Eastwood,1997,1998,2,75,6,12,18,0,26,6,0,0,0,11,0,1,56,10.7,476,,eastwmi01
Frank Eddolls,1948,1952,5,260,18,34,52,,88,15,3,0,1,29,5,0,,,,,eddolfr01
Pat Egan,1950,1951,2,140,10,21,31,,120,3,7,0,0,14,7,0,,,,,eganpa01
Jack Egers,1970,1974,4,111,13,14,27,10,72,7,6,0,3,11,3,0,128,10.2,,,egersja01
Steve Eminger,2011,2013,3,142,4,10,14,4,58,4,0,0,1,7,2,1,64,6.3,2045,14:24,emingst01
Anders Eriksson,2010,2010,1,8,0,2,2,2,0,0,0,0,0,2,0,0,2,0,116,14:30,eriksan01
Jan Erixon,1984,1993,10,556,57,159,216,34,167,48,1,8,5,148,2,9,600,9.5,,,erixoja01
Tim Erixon,2012,2012,1,18,0,2,2,-2,8,0,0,0,0,2,0,0,9,0,234,13:00,erixoti01
Bob Errey,1998,1998,1,12,0,0,0,-5,7,0,0,0,0,0,0,0,11,0,149,,erreybo01
Phil Esposito*,1976,1981,6,422,184,220,404,-116,263,101,82,1,23,140,78,2,1373,13.4,,,esposph01
Emerson Etem,2016,2016,1,19,0,3,3,-4,2,0,0,0,0,3,0,0,23,0,210,11:05,etemem01
Jack Evans,1949,1958,9,408,15,38,53,,671,12,2,1,3,35,3,0,,,,,evansja01
Bill Ezinicki,1955,1955,1,16,2,2,4,,22,2,0,0,0,1,1,0,,,,,ezinibi01
Trevor Fahey,1965,1965,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,faheytr01
Bill Fairbairn,1969,1977,9,536,138,224,362,106,161,101,25,12,25,187,32,5,1102,12.5,,,fairbbi01
Justin Falk,2014,2014,1,21,0,2,2,-5,20,0,0,0,0,2,0,0,10,0,252,11:59,falkju01
Dave Farrish,1977,1979,3,217,6,41,47,-32,225,5,0,1,1,39,2,0,317,1.9,,,farrida01
Jesper Fast,2014,2020,7,422,55,92,147,12,116,53,0,2,6,89,1,2,434,12.7,6167,14:37,fastje01
Rico Fata,2002,2003,2,46,2,4,6,-3,6,2,0,0,0,3,1,0,38,5.3,347,7:33,fatari01
Glen Featherstone,1995,1995,1,6,1,0,1,0,18,1,0,0,0,0,0,0,6,16.7,,,feathgl01
Fedor Fedorov,2006,2006,1,3,0,0,0,0,6,0,0,0,0,0,0,0,2,0,29,9:49,fedorfe01
Ruslan Fedotenko,2011,2012,2,139,19,26,45,2,41,17,1,1,1,23,3,0,214,8.9,1982,14:16,fedotru01
Brent Fedyk,1999,1999,1,67,4,6,10,-11,30,3,0,1,0,5,0,1,47,8.5,743,11:06,fedykbr01
Tony Feltrin,1986,1986,1,10,0,0,0,-4,21,0,0,0,0,0,0,0,8,0,,,feltrto01
Paul Fenton,1987,1987,1,8,0,0,0,-5,2,0,0,0,0,0,0,0,11,0,,,fentopa01
Chris Ferraro,1996,1997,2,14,2,1,3,-2,6,1,1,0,0,0,1,0,27,7.4,,,ferrach01
Peter Ferraro,1996,1998,3,8,0,1,1,-7,2,0,0,0,0,0,1,0,12,0,14,,ferrape01
Ray Ferraro,1996,1996,1,65,25,29,54,13,82,17,8,0,4,20,9,0,160,15.6,,,ferrara01
Benn Ferriero,2013,2013,1,4,0,1,1,0,0,0,0,0,0,1,0,0,4,0,38,9:37,ferribe01
Jeff Finley,1998,1999,2,65,1,6,7,-4,55,1,0,0,0,5,1,0,32,3.1,979,489:15:00,finleje01
Peter Fiorentino,1992,1992,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,fiorepe01
Dunc Fisher,1949,1951,3,142,21,37,58,,82,15,6,0,1,27,9,1,,,,,fishedu01
Sandy Fitzpatrick,1965,1965,1,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,,,fitzpsa01
Patrick Flatley,1997,1997,1,68,10,12,22,6,26,10,0,0,2,11,1,0,96,10.4,,,flatlpa01
Reggie Fleming,1966,1969,4,241,50,49,99,-25,540,41,8,1,4,46,3,0,461,10.8,,,flemire01
Theo Fleury,2000,2002,3,224,69,132,201,-4,406,46,16,7,9,76,54,2,751,9.2,4632,20:41,fleurth01
Steven Fogarty,2018,2020,3,18,0,0,0,-2,2,0,0,0,0,0,0,0,12,0,131,7:17,fogarst01
Gerry Foley,1957,1958,2,137,9,14,23,,87,8,1,0,1,13,1,0,,,,,foleyge01
Val Fonteyne,1964,1965,2,96,7,19,26,-14,6,4,1,2,1,17,1,1,117,6,,,fonteva01
Lou Fontinato,1955,1961,7,419,22,57,79,-6,940,18,4,0,2,51,4,2,140,2.9,,,fontilo01
Colin Forbes,2001,2001,1,19,1,4,5,-3,15,1,0,0,0,4,0,0,20,5,149,7:52,forbeco01
Herb Foster,1941,1948,2,6,1,0,1,,0,1,0,0,0,0,0,0,,,,,fostehe01
Yip Foster,1930,1930,1,31,0,0,0,,16,,,,0,,,,,,,,fosteyi01
Nick Fotiu,1977,1985,8,455,41,62,103,-42,970,39,2,0,6,62,0,0,381,10.8,,,fotiuni01
Adam Fox,2020,2024,5,295,39,207,246,88,112,30,7,2,13,102,100,5,559,7,6757,22:54,foxad01
Archie Fraser,1944,1944,1,3,0,1,1,,0,0,0,0,0,1,0,0,,,,,frasear01
Scott Fraser,1999,1999,1,28,2,4,6,-12,14,1,1,0,0,3,1,0,35,5.7,283,10:06,frasesc01
Dan Fritsche,2009,2009,1,16,1,3,4,-2,2,1,0,0,0,3,0,0,20,5,153,9:33,fritsda01
Alex Frolov,2011,2011,1,43,7,9,16,4,8,7,0,0,2,8,1,0,78,9,620,14:26,froloal01
Robbie Ftorek,1982,1985,4,170,32,55,87,13,122,28,3,1,4,51,3,1,174,18.4,,,ftorero01
Marián Gáborík,2010,2013,4,255,114,115,229,30,97,81,32,1,19,76,38,1,853,13.4,4990,19:34,gaborma01
Bill Gadsby*,1955,1961,7,457,58,212,270,-51,411,34,21,3,5,111,96,5,207,8.7,,,gadsbbi01
Dave Gagner,1985,1987,3,80,11,16,27,-16,47,10,0,1,0,16,0,0,109,10.1,,,gagneda01
Dutch Gainor,1932,1932,1,46,3,9,12,,9,,,,0,,,,,,,,gainodu01
Maxim Galanov,1998,1998,1,6,0,1,1,1,2,0,0,0,0,1,0,0,5,0,123,,galanma01
Cal Gardner,1946,1948,3,126,28,36,64,,103,22,6,0,5,25,11,0,,,,,gardnca01
Red Garrett,1943,1943,1,23,1,1,2,,18,1,0,0,1,1,0,0,,,,,garrere01
Mike Gartner*,1990,1994,5,322,173,113,286,13,231,101,66,6,20,78,34,1,1164,14.9,,,gartnmi01
Fern Gauthier,1944,1944,1,33,14,11,25,,0,13,1,0,0,11,0,0,,,,,gauthfe01
Julien Gauthier,2020,2023,4,131,11,15,26,-21,28,11,0,0,1,15,0,0,152,7.2,1232,9:24,gauthju01
Jean-Guy Gendron,1956,1962,4,272,38,41,79,-22,213,31,6,1,8,30,10,1,119,11.8,,,gendrje01
Bernie Geoffrion*,1967,1968,2,117,22,41,63,-1,53,13,9,0,2,21,20,0,239,9.2,,,geoffbe01
Ken Gernander,1996,2004,2,12,2,3,5,-4,6,0,2,0,0,2,1,0,10,20,13,6:38,gernake01
Timothy Gettinger,2019,2022,4,16,0,1,1,-1,0,0,0,0,0,1,0,0,10,0,146,9:07,gettiti01
Greg Gilbert,1994,1994,1,76,4,11,15,-3,29,3,1,0,0,11,0,0,64,6.3,,,gilbegr01
Rod Gilbert*,1961,1978,18,1065,406,615,1021,38,510,298,108,0,52,400,215,0,3142,12.9,,,gilbero01
Curt Giles,1987,1988,2,74,2,17,19,0,60,2,0,0,0,15,2,0,64,3.1,,,gilescu01
Randy Gilhen,1992,1993,2,73,10,9,19,-3,22,9,0,1,1,9,0,0,101,9.9,,,gilhera01
Jere Gillis,1981,1982,2,61,13,19,32,4,20,12,1,0,2,18,1,0,104,12.5,,,gillije01
John Gilmour,2018,2019,2,33,2,3,5,-14,18,1,1,0,1,3,0,0,70,2.9,561,17:01,gilmojo01
Matt Gilroy,2010,2013,3,142,7,19,26,2,43,7,0,0,2,15,4,0,171,4.1,2091,14:44,gilroma01
Dan Girardi,2007,2017,11,788,46,184,230,54,275,31,13,2,12,140,34,10,1067,4.3,17531,22:15,girarda01
Alexandre Giroux,2006,2006,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,3,2:50,giroual01
Tanner Glass,2015,2017,3,134,6,9,15,-15,181,6,0,0,0,9,0,0,110,5.5,1382,10:19,glassta01
Howie Glover,1964,1964,1,25,1,0,1,-4,9,1,0,0,0,0,0,0,30,3.3,,,gloveho01
Pete Goegan,1962,1962,1,7,0,2,2,3,6,0,0,0,0,2,0,0,7,0,,,goegape01
Bill Goldsworthy,1977,1978,2,68,10,13,23,-16,55,10,0,0,2,12,1,0,103,9.7,,,goldsbi01
Leroy Goldsworthy,1930,1930,1,44,4,1,5,,16,,,,0,,,,,,,,goldsle01
Hank Goldup,1943,1946,3,102,34,46,80,,69,29,5,0,4,38,8,0,,,,,golduha01
Scott Gomez,2008,2009,2,158,32,96,128,1,96,21,10,1,10,59,36,1,513,6.2,3233,20:28,gomezsc01
Daniel Goneau,1997,2000,3,53,12,3,15,-10,14,9,3,0,3,2,1,0,60,20,138,138:14:00,goneada01
Bill Gooden,1943,1944,2,53,9,12,21,,15,7,2,0,0,12,0,0,,,,,goodebi01
Barclay Goodrow,2022,2024,3,174,24,41,65,16,146,22,1,1,4,36,1,4,209,11.5,2627,15:06,goodrba01
Jack Gordon,1949,1951,3,36,3,10,13,,0,3,0,0,0,10,0,0,,,,,gordoja01
Benoit Gosselin,1978,1978,1,7,0,0,0,-3,33,0,0,0,0,0,0,0,4,0,,,gossebe01
Phil Goyette,1964,1972,7,396,98,231,329,18,49,75,23,0,17,161,70,0,911,10.8,,,goyetph01
Michael Grabner,2017,2018,2,135,52,19,71,33,22,50,0,2,5,16,1,2,293,17.7,1949,14:26,grabnmi01
Evgeny Grachev,2011,2011,1,8,0,0,0,-3,0,0,0,0,0,0,0,0,3,0,62,7:42,grachev01
Tony Granato,1989,1990,2,115,43,45,88,18,217,34,5,4,3,32,10,3,313,13.7,,,granato01
Norm Gratton,1972,1972,1,3,0,1,1,1,0,0,0,0,0,1,0,0,2,0,,,grattno01
Adam Graves,1992,2001,10,772,280,227,507,6,810,164,100,16,36,151,65,11,2309,12.1,5860,24:19:00,gravead01
Alex Gray,1928,1928,1,43,7,1,8,,28,,,,0,,,,,,,,grayal01
Anthony Greco,2022,2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,9:44,grecoan01
Josh Green,2003,2004,2,18,3,2,5,-1,10,3,0,0,1,2,0,0,32,9.4,236,13:08,greenjo01
Mike Green,2004,2004,1,13,1,2,3,0,2,1,0,0,0,2,0,0,13,7.7,129,9:53,greenmi02
Ron Greschner,1975,1990,16,981,179,431,610,-84,1226,122,51,6,18,255,171,5,1877,9.5,,,grescro01
Wayne Gretzky*,1997,1999,3,234,57,192,249,-22,70,42,15,0,9,115,76,1,619,9.2,3232,46:10:00,gretzwa01
Jari Grönstrand,1988,1988,1,62,3,11,14,8,63,2,1,0,0,9,2,0,65,4.6,,,gronsja01
Michal Grošek,2001,2002,2,80,12,13,25,-13,73,10,2,0,0,10,3,0,107,11.2,907,11:20,grosemi01
Jocelyn Guevremont,1980,1980,1,20,2,5,7,-13,6,0,2,0,0,2,3,0,41,4.9,,,guevrjo01
Aldo Guidolin,1953,1956,4,182,9,15,24,,117,6,1,2,1,12,3,0,,,,,guidoal01
Alexei Gusarov,2001,2001,1,26,1,3,4,-2,6,1,0,0,0,2,1,0,21,4.8,508,19:33,gusaral01
Erik Gustafsson,2024,2024,1,14,3,7,10,7,6,3,0,0,0,5,2,0,22,13.6,264,18:50,gustaer02
Vic Hadfield,1962,1974,13,841,262,310,572,16,1041,179,83,0,40,228,82,0,2414,10.9,,,hadfivi01
Carl Hagelin,2012,2015,4,266,58,72,130,57,132,53,2,3,12,71,0,1,592,9.8,4160,15:38,hagelca01
Libor Hájek,2019,2023,5,110,4,8,12,-9,40,4,0,0,1,8,0,0,91,4.4,1637,14:53,hajekli01
Micheal Haley,2013,2020,2,31,1,0,1,-8,62,1,0,0,0,0,0,0,13,7.7,181,5:51,haleymi01
Adam Hall,2007,2007,1,49,4,8,12,-13,18,1,3,0,0,4,3,1,61,6.6,610,12:27,hallad01
Wayne Hall,1961,1961,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,,,hallwa01
Jeff Halpern,2013,2013,1,30,0,1,1,-5,8,0,0,0,0,1,0,0,13,0,275,9:10,halpeje01
Al Hamilton,1966,1970,4,81,0,5,5,-8,62,0,0,0,0,5,0,0,53,0,,,hamilal01
Ken Hammond,1989,1989,1,3,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,,,hammoke01
Ted Hampson,1961,1963,3,184,14,40,54,-27,16,12,0,2,0,37,2,1,214,6.5,,,hampste01
Roman Hamrlík,2013,2013,1,12,0,0,0,-3,6,0,0,0,0,0,0,0,5,0,121,10:06,hamrlro01
John Hanna,1959,1961,3,177,6,26,32,-12,204,6,0,0,0,24,1,1,122,4.1,,,hannajo01
Pat Hannigan,1961,1962,2,109,19,23,42,8,58,18,1,0,1,20,2,1,129,14.7,,,hannipa01
Mark Hardy,1988,1993,6,284,7,52,59,25,409,7,0,0,1,45,5,2,266,2.6,,,hardyma01
Ben Harpur,2023,2023,1,42,1,5,6,0,20,1,0,0,0,5,0,0,34,2.9,591,14:04,harpube01
Ron Harris,1973,1976,4,147,6,30,36,-1,64,5,1,0,0,28,2,0,188,3.2,,,harriro01
Ed Harrison,1951,1951,1,5,1,0,1,,0,0,1,0,0,0,0,0,,,,,harried01
Mike Hartman,1993,1995,3,39,1,1,2,-5,80,1,0,0,0,1,0,0,22,4.5,,,hartmmi01
Doug Harvey*,1962,1964,3,151,10,61,71,-17,144,5,3,2,4,38,22,1,154,6.5,,,harvedo01
Todd Harvey,1999,2000,2,68,14,20,34,-10,134,8,6,0,2,12,8,0,89,15.7,1024,15:03,harveto01
Kevin Hatcher,2000,2000,1,74,4,19,23,-10,38,2,2,0,0,10,9,0,112,3.6,1568,21:11,hatchke01
Gord Haworth,1953,1953,1,2,0,1,1,,0,0,0,0,0,1,0,0,,,,,haworgo01
Kevin Hayes,2015,2019,5,361,87,129,216,31,98,67,14,6,13,99,23,7,678,12.8,5679,15:44,hayeske01
Paul Healey,2004,2004,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,4:50,healepa01
Mark Heaslip,1977,1978,2,48,6,10,16,0,65,6,0,0,0,7,1,2,41,14.6,,,heaslma01
Randy Heath,1985,1986,2,13,2,4,6,0,15,1,1,0,0,4,0,0,19,10.5,,,heathra01
Andy Hebenton,1956,1963,8,560,177,191,368,-88,80,110,63,4,17,135,53,3,697,11.2,,,hebenan01
Anders Hedberg,1979,1985,7,465,172,225,397,53,144,132,39,1,21,146,75,4,1220,14.1,,,hedbean01
Ilkka Heikkinen,2010,2010,1,7,0,0,0,2,0,0,0,0,0,0,0,0,4,0,62,8:52,heikkil01
Bill Heindl,1973,1973,1,4,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,,,heindbi01
Barrett Heisten,2002,2002,1,10,0,0,0,-4,2,0,0,0,0,0,0,0,7,0,76,7:36,heistba01
Ott Heller,1932,1946,15,649,54,176,230,,467,42,2,3,12,145,16,6,,,,,helleot01
Raimo Helminen,1986,1987,2,87,12,34,46,-8,12,7,5,0,2,16,18,0,149,8.1,,,helmira01
Camille Henry,1954,1968,12,637,256,222,478,-46,72,140,116,0,32,128,94,0,746,21.2,,,henryca01
Wally Hergesheimer,1952,1959,6,310,112,77,189,,94,90,22,0,19,57,19,1,,,,,hergewa01
Obs Heximer,1930,1930,1,19,1,0,1,,4,,,,0,,,,,,,,heximob01
Bryan Hextall*,1937,1948,11,449,187,180,367,,227,160,22,5,25,149,25,6,,,,,hextabr01
Bryan Hextall,1963,1963,1,21,0,2,2,-4,8,0,0,0,0,2,0,0,18,0,,,hextabr02
Dennis Hextall,1969,1969,1,13,1,4,5,0,25,1,0,0,0,4,0,0,16,6.3,,,hextade01
Bill Hicke,1965,1967,3,137,18,33,51,-48,58,14,4,0,2,28,5,0,196,9.2,,,hickebi01
Greg Hickey,1978,1978,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,,,hickegr01
Pat Hickey,1976,1982,6,370,128,129,257,-66,216,101,25,2,9,90,37,2,772,16.6,,,hickepa01
Chris Higgins,2010,2010,1,55,6,8,14,-9,32,6,0,0,1,7,1,0,137,4.4,985,17:55,higgich01
Ike Hildebrand,1954,1954,1,32,6,10,16,,12,6,0,0,1,10,0,0,,,,,hildeik01
Dutch Hiller,1938,1944,5,198,49,69,118,,116,41,7,1,4,66,2,1,,,,,hilledu01
Jim Hiller,1994,1994,1,2,0,0,0,1,7,0,0,0,0,0,0,0,0,,,,hilleji01
Wayne Hillman,1965,1968,4,219,6,41,47,-38,185,6,0,0,2,34,5,2,184,3.3,,,hillmwa01
Jan Hlaváč,2000,2004,3,218,52,80,132,-2,52,39,13,0,8,60,20,0,454,11.5,3329,15:16,hlavaja01
Ken Hodge,1977,1978,2,96,23,45,68,-26,51,16,7,0,6,31,14,0,154,14.9,,,hodgeke01
Nick Holden,2017,2018,2,135,14,32,46,10,49,11,3,0,2,30,1,1,138,10.1,2693,19:57,holdeni01
Bobby Holík,2003,2004,2,146,41,50,91,3,148,30,11,0,6,40,10,0,438,9.4,2681,18:22,holikbo01
Jerry Holland,1975,1976,2,37,8,4,12,-4,6,6,2,0,1,3,1,0,51,15.7,,,hollaje01
Peter Holland,2018,2018,1,23,1,3,4,-10,7,1,0,0,0,2,0,1,30,3.3,285,12:24,hollape01
Ryan Hollweg,2006,2008,3,200,5,7,12,-26,311,5,0,0,0,7,0,0,154,3.2,1600,8:00,hollwry01
Greg Holst,1976,1978,3,11,0,0,0,-6,0,0,0,0,0,0,0,0,9,0,,,holstgr01
Miloslav Hořava,1989,1991,3,80,5,17,22,10,38,4,1,0,1,9,8,0,84,6,,,horavmi01
Tim Horton*,1970,1971,2,93,3,23,26,20,73,1,2,0,1,14,8,1,165,1.8,,,hortoti01
Bronco Horvath,1956,1963,3,114,20,34,54,-10,76,13,7,0,4,24,10,0,90,7.8,,,horvabr01
Ed Hospodar,1980,1982,3,122,8,23,31,0,442,8,0,0,0,21,2,0,87,9.2,,,hospoed01
Marcel Hossa,2006,2008,3,164,21,21,42,-2,78,15,6,0,2,17,3,1,242,8.7,2011,12:16,hossama02
Brett Howden,2019,2021,3,178,16,33,49,-29,53,15,1,0,3,27,3,3,171,9.4,2433,13:40,howdebr01
Vic Howe,1951,1955,3,33,3,4,7,,10,3,0,0,0,4,0,0,,,,,howevi01
Harry Howell*,1953,1969,17,1160,82,263,345,-77,1147,69,12,1,12,181,78,4,1701,3.4,,,howelha01
Ron Howell,1955,1956,2,3,0,0,0,,0,0,0,0,0,0,0,0,,,,,howelro01
Marek Hrivík,2016,2017,2,21,0,3,3,0,2,0,0,0,0,2,1,0,18,0,220,10:29,hrivima01
Willie Huber,1984,1988,5,238,28,58,86,-59,282,17,9,2,3,39,16,3,426,6.6,,,huberwi01
Mike Hudson,1994,1994,1,48,4,7,11,-5,47,4,0,0,1,7,0,0,48,8.3,,,hudsomi01
Jody Hull,1991,1992,2,50,5,8,13,-2,12,5,0,0,0,8,0,0,61,8.2,,,hulljo01
Dryden Hunt,2022,2023,2,79,7,11,18,-11,54,7,0,0,2,11,0,0,96,7.3,960,12:09,huntdr01
Fred Hunt,1945,1945,1,44,13,9,22,,6,13,0,0,0,7,2,0,,,,,huntfr01
Matt Hunwick,2015,2015,1,55,2,9,11,17,16,2,0,0,1,7,2,0,72,2.8,870,15:49,hunwima01
Larry Huras,1977,1977,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,hurasla01
